"NumberObject";"LESHOS";"LESNICH";"KZAS";"KV";"ADMR";"AKT";"FIRMA";"EX";"VYDEL";"PL";"KZM_M1";"OZU";"POR_M3";"BON";"TL";"TUM";"GRV";"ZAPV";"XOZS";"VOZRR";"KLVOZR";"XMER1";"XMER1P";"SUX";"XMER2";"POR_M2";"GOD_R";"PNI_W";"PNI_C";"DM";"NE2A";"PTK2";"PTK1";"TIP_M3";"ZAXLO";"ZAXLL";"OPT";"PTG";"MAPINFO_ID";"XMER3";"EKS";"KRUT";"LFLAG"
1165;21;1;"131802";60;"522";"14";"1";"21";10;13,00;1101;0;302600;"1";"ÎÐ";"Ñ2";1;"4";"14";"35";"1";0;0;;0;"100100";;;;;;;;;;;;9;79425;0;;;1
1166;21;1;"131802";60;"522";"14";"1";"21";11;6,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;50;;0;;;;;;;;;;;;;9;79426;0;;;1
1167;21;1;"131802";60;"522";"14";"1";"21";12;8,00;1108;0;100100;"1À";"ÎÐ";"Â2";3;"22";"1";"29";"3";0;0;"5";0;;;;;;;;;;;;;9;79427;0;;;1
1168;21;1;"131802";60;"522";"14";"1";"21";13;5,00;1101;0;100100;"1";"ÎÐ";"Â2";4;"15";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79428;0;;;1
1169;21;1;"131802";60;"522";"14";"1";"21";14;7,00;1103;0;302600;"1";"ÎÐ";"Ñ2";4;"18";"14";"35";"5";1435;30;"5";0;"100200";;;;;;;;;"10";;;9;79429;0;;;1
1170;21;1;"131802";60;"522";"14";"1";"21";15;13,00;1101;0;100100;"1";"ÌØ";"À2";4;"36";"1";"29";"4";0;0;;0;;;;;;;;;;;;;7;79430;0;;;1
1171;21;1;"131802";60;"522";"14";"1";"21";16;3,00;1108;0;100100;"1À";"ÎÐ";"Â2";3;"8";"1";"29";"3";0;0;;0;;;;;;;;;;;;;9;79431;0;;;1
1172;21;1;"131802";60;"522";"14";"1";"21";17;6,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79432;0;;;1
1173;21;1;"131802";60;"522";"14";"1";"21";18;4,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79433;0;;;1
1174;21;1;"131802";61;"522";"14";"1";"21";1;74,00;1108;0;100100;"1";"ÎÐ";"Â2";4;"252";"1";"29";"4";0;0;;0;;;;;;;;;;;;;8;79434;0;;;1
1175;21;1;"131802";61;"522";"14";"1";"21";2;30,00;1101;0;100100;"1";"×ÅÐ";"Â3";4;"102";"1";"29";"4";0;0;;0;;;;;;;;;;;;;12;79435;0;;;1
1176;21;1;"131802";61;"522";"14";"1";"21";3;123,00;1108;0;100100;"1";"ÌØ";"À2";4;"418";"1";"29";"4";1605;5;"10";0;;;;;;;;;;"5";;;7;79436;0;;;1
1177;21;1;"131802";61;"522";"14";"1";"21";4;20,00;1108;0;100100;"1";"ÌØ";"À2";4;"60";"1";"29";"4";0;0;"5";0;;;;;;;;;;;;;7;79437;0;;;1
1178;21;1;"131802";61;"522";"14";"1";"21";5;14,00;1101;0;100100;"2";"×ÅÐ";"À3";5;"38";"1";"29";"5";0;0;;0;;;;;;;;;;"5";;;13;79438;0;;;1
1179;21;1;"131802";61;"522";"14";"1";"21";6;9,00;1101;0;100100;"1";"ÎÐ";"Â2";5;"27";"1";"29";"5";0;0;;0;;;;;;;;;;"5";;;8;79439;0;;;1
1180;21;1;"131802";61;"522";"14";"1";"21";7;29,00;1108;0;100100;"1";"ÎÐ";"Â2";3;"81";"1";"29";"3";0;0;;0;;;;;;;;;;;;;8;79440;0;;;1
1181;21;1;"131802";61;"522";"14";"1";"21";8;18,00;1108;0;100100;"1";"×ÅÐ";"Â3";3;"65";"1";"29";"3";1435;25;"10";1470;;;;;;;;;;;;;12;79441;0;;;1
1182;21;1;"131802";61;"522";"14";"1";"21";9;21,00;1108;0;100100;"1";"ÌØ";"À2";3;"63";"1";"29";"3";1435;15;"10";1470;;;;;;;;;;;;;7;79442;0;;;1
1183;21;1;"131802";61;"522";"14";"1";"21";10;7,00;1101;0;302600;"1";"ÌØ";"À2";3;"15";"14";"35";"4";1435;20;;0;"100100";;;;;;;;;;;;7;79443;0;;;1
1184;21;1;"131802";61;"522";"14";"1";"21";11;20,00;1108;0;100100;"1";"ÌØ";"À2";4;"60";"1";"29";"4";1435;15;"5";1470;;;;;;;;;;"5";;;7;79444;0;;;1
1185;21;1;"131802";61;"522";"14";"1";"21";12;5,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79445;0;;;1
1186;21;1;"131802";61;"522";"14";"1";"21";13;6,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79446;0;;;1
1187;21;1;"131802";62;"522";"14";"1";"21";1;158,00;1108;0;100100;"1";"ÌØ";"À2";5;"490";"1";"29";"5";0;0;"5";0;;;;;;;;;;;;;7;79447;0;;;1
1188;21;1;"131802";62;"522";"14";"1";"21";2;41,00;1108;0;100100;"1";"ÌØ";"À2";5;"139";"1";"29";"5";0;0;"5";0;;;;;;;;;;;;;7;79448;0;;;1
1189;21;1;"131802";62;"522";"14";"1";"21";3;36,00;1108;0;100100;"1";"ÌØ";"À2";4;"108";"1";"29";"4";0;0;;0;;;;;;;;;;;;;7;79449;0;;;1
1190;21;1;"131802";62;"522";"14";"1";"21";4;1,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79450;0;;;1
1191;21;1;"131802";62;"522";"14";"1";"21";5;4,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79451;0;;;1
1192;21;1;"131802";63;"522";"14";"1";"21";1;257,00;1108;0;100100;"1";"ÌØ";"À2";4;"925";"1";"29";"4";1435;15;"5";1470;;;;;;;;;;;;;7;79452;0;;;1
1193;21;1;"131802";63;"522";"14";"1";"21";2;46,00;1108;0;100100;"1";"ÌØ";"À2";4;"156";"1";"29";"4";1435;15;;1470;;;;;;;;;;;;;7;79453;0;;;1
1194;21;1;"131802";63;"522";"14";"1";"21";3;8,00;1108;0;100100;"1";"×ÅÐ";"Â3";4;"23";"1";"29";"4";0;0;;0;;;;;;;;;;;;;13;79454;0;;;1
1195;21;1;"131802";63;"522";"14";"1";"21";4;2,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79455;0;;;1
1196;21;1;"131802";63;"522";"14";"1";"21";5;5,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79456;0;;;1
1197;21;1;"131802";64;"522";"14";"1";"21";1;133,00;1108;0;100100;"1";"ÎÐ";"Â2";4;"452";"1";"29";"4";0;0;;0;;;;;;;;;;;;;8;79457;0;;;1
1198;21;1;"131802";64;"522";"14";"1";"21";2;32,00;1108;0;100100;"1";"ÌØ";"À2";4;"109";"1";"29";"4";0;0;;0;;;;;;;;;;;;;7;79458;0;;;1
1199;21;1;"131802";64;"522";"14";"1";"21";3;114,00;1108;0;100100;"1";"ÌØ";"À2";4;"410";"1";"29";"4";1435;15;"5";0;;;;;;;;;;;;;7;79459;0;;;1
1200;21;1;"131802";64;"522";"14";"1";"21";4;4,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79460;0;;;1
1201;21;1;"131802";65;"522";"14";"1";"21";1;76,00;1108;0;100100;"1";"ÌØ";"À2";4;"289";"1";"29";"4";1435;15;;0;;;;;;;;;;;;;7;79461;0;;;1
1202;21;1;"131802";65;"522";"14";"1";"21";2;187,00;1108;0;100100;"1";"ÎÐ";"Â2";5;"636";"1";"29";"5";0;0;;0;;;;;;;;;;;;;8;79462;0;;;1
1203;21;1;"131802";65;"522";"14";"1";"21";3;16,00;1101;0;100100;"2";"ÌØ";"À2";6;"58";"1";"29";"6";1211;0;;3211;;;;;;;;;;;;;7;79463;0;;;1
1204;21;1;"131802";65;"522";"14";"1";"21";4;4,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79464;0;;;1
1205;21;1;"131802";66;"522";"14";"1";"21";1;183,00;1108;0;100100;"1";"ÌØ";"À2";5;"659";"1";"29";"5";1621;0;;0;;;;;;;;;;"10";"8";;7;79465;0;;;1
1206;21;1;"131802";66;"522";"14";"1";"21";2;87,00;1108;0;100100;"1";"ÌØ";"À2";5;"331";"1";"29";"5";0;0;;0;;;;;;;;;;"10";;;9;79466;0;;;1
1207;21;1;"131802";66;"522";"14";"1";"21";3;25,00;1101;0;100100;"1À";"ÎÐ";"Â2";4;"78";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79467;0;;;1
1208;21;1;"131802";66;"522";"14";"1";"21";4;2,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79468;0;;;1
1209;21;1;"131802";66;"522";"14";"1";"21";5;4,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79469;0;;;1
1210;21;1;"131802";67;"522";"14";"1";"21";1;31,00;1108;0;100100;"1";"ÎÐ";"Â2";1;"6";"1";"29";"1";0;0;;0;;;;;;;;;;;;;9;79470;0;;;1
1211;21;1;"131802";67;"522";"14";"1";"21";2;141,00;1101;0;100100;"1";"ÎÐ";"Â2";5;"564";"1";"29";"5";0;0;;0;;;;;;;;;;;;;9;79471;0;;;1
1212;21;1;"131802";67;"522";"14";"1";"21";3;101,00;1108;0;100100;"1";"ÎÐ";"Â2";5;"424";"1";"29";"5";0;0;;0;;;;;;;;;;;;;9;79472;0;;;1
1213;21;1;"131802";67;"522";"14";"1";"21";4;14,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1414;0;;0;;;;;;;;;;;;;9;79473;0;;;1
1214;21;1;"131802";67;"522";"14";"1";"21";5;4,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79474;0;;;1
1215;21;1;"131802";68;"522";"14";"1";"21";1;82,00;1101;0;100100;"1";"ÎÐ";"Â2";5;"312";"1";"29";"5";0;0;;0;;;;;;;;;;;;;9;79475;0;;;1
1216;21;1;"131802";68;"522";"14";"1";"21";2;169,00;1101;0;100100;"1";"ÎÐ";"Â2";5;"608";"1";"29";"5";0;0;;0;;;;;;;;;;;;;9;79476;0;;;1
1217;21;1;"131802";68;"522";"14";"1";"21";3;38,00;1101;0;100100;"1";"ÎÐ";"Â2";5;"144";"1";"29";"5";0;0;;0;;;;;;;;;;;;;9;79477;0;;;1
1218;21;1;"131802";68;"522";"14";"1";"21";4;7,00;1101;0;100100;"2";"ÄÌ";"À4";4;"19";"1";"29";"4";0;0;;0;;;;;;;;;;;;;34;79478;0;;;1
1219;21;1;"131802";68;"522";"14";"1";"21";5;25,00;1101;0;304000;"1À";"ÎÐ";"Â2";5;"63";"15";"43";"4";1211;0;;3211;"100200";;;;;;;;;;;;9;79479;0;;;1
1220;21;1;"131802";68;"522";"14";"1";"21";6;68,00;1101;0;100100;"1";"ÎÐ";"Â2";5;"245";"1";"29";"5";0;0;;0;;;;;;;;;;;;;9;79480;0;;;1
1221;21;1;"131802";68;"522";"14";"1";"21";7;11,00;1101;0;100100;"1";"ÎÐ";"Â2";3;"32";"1";"29";"3";0;0;;0;;;;;;;;;;;;;9;79481;0;;;1
1222;21;1;"131802";68;"522";"14";"1";"21";8;6,00;1101;0;302600;"1";"ÎÐ";"Â2";4;"13";"14";"35";"5";0;0;;0;"100100";;;;;;;;;;;;9;79482;0;;;1
1223;21;1;"131802";68;"522";"14";"1";"21";9;29,00;1101;0;100100;"1";"ÎÐ";"Â2";3;"58";"1";"29";"3";0;0;;0;;;;;;;;;;;;;9;79483;0;;;1
1224;21;1;"131802";68;"522";"14";"1";"21";10;36,00;1101;0;100200;"1";"ÎÐ";"Ñ2";3;"83";"3";"29";"3";0;0;;0;;;;;;;;;;;;;9;79484;0;;;1
1225;21;1;"131802";68;"522";"14";"1";"21";11;7,00;1101;0;100200;"1";"ÎÐ";"Ñ2";3;"15";"3";"29";"3";0;0;;0;;;;;;;;;;;;;9;79485;0;;;1
1226;21;1;"131802";68;"522";"14";"1";"21";12;7,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79486;0;;;1
1227;21;1;"131802";68;"522";"14";"1";"21";13;5,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79487;0;;;1
1228;21;1;"131802";69;"522";"14";"1";"21";1;159,00;1108;0;100100;"1";"ÎÐ";"Â2";4;"477";"1";"29";"4";0;0;;0;;;;;;;;;;;;;22;79488;0;;;1
1229;21;1;"131802";69;"522";"14";"1";"21";2;4,00;1101;0;302600;"1";"ÎÐ";"Ñ2";4;"9";"14";"35";"6";0;0;;0;"100100";;;;;;;;;;;;9;79489;0;;;1
1230;21;1;"131802";69;"522";"14";"1";"21";3;2,00;1101;0;100100;"1";"×ÅÐ";"Â3";4;"5";"1";"29";"4";0;0;;0;;;;;;;;;;;;;13;79490;0;;;1
1231;21;1;"131802";69;"522";"14";"1";"21";4;84,00;1108;0;100100;"1";"ÎÐ";"Â2";3;"185";"1";"29";"3";0;0;;0;;;;;;;;;;;;;9;79491;0;;;1
1232;21;1;"131802";69;"522";"14";"1";"21";5;28,00;1101;0;100100;"1";"ÎÐ";"Â2";5;"87";"1";"29";"5";0;0;;0;;;;;;;;;;;;;9;79492;0;;;1
1233;21;1;"131802";69;"522";"14";"1";"21";6;3,00;1101;0;302600;"1";"×ÅÐ";"Â3";2;"2";"14";"35";"2";0;0;;0;"100100";;;;;;;;;;;;13;79493;0;;;1
1234;21;1;"131802";69;"522";"14";"1";"21";7;2,00;1101;0;302600;"1";"×ÅÐ";"Â3";3;"3";"14";"35";"4";0;0;;0;"100200";;;;;;;;;;;;12;79494;0;;;1
1235;21;1;"131802";69;"522";"14";"1";"21";8;6,00;2507;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79495;0;;;1
1236;21;1;"131802";69;"522";"14";"1";"21";9;24,00;1108;0;100100;"1";"ÎÐ";"Â2";4;"82";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79496;0;;;1
1237;21;1;"131802";69;"522";"14";"1";"21";10;28,00;1108;0;100100;"1";"ÎÐ";"Â2";3;"67";"1";"29";"3";0;0;;0;;;;;;;;;;;;;9;79497;0;;;1
1238;21;1;"131802";69;"522";"14";"1";"21";11;11,00;1102;0;100100;"1";"ÎÐ";"Â2";1;"4";"1";"29";"1";3282;0;;0;;;;;;;;;;;;;9;79498;0;;;1
1239;21;1;"131802";69;"522";"14";"1";"21";12;8,00;1101;0;100100;"1";"ÎÐ";"Â2";1;"1";"1";"29";"1";0;0;;0;;;;;;;;;;;;;9;79499;0;;;1
1240;21;1;"131802";69;"522";"14";"1";"21";13;4,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79500;0;;;1
1241;21;1;"131802";69;"522";"14";"1";"21";14;2,00;2310;0;0;;;;0;;;;;1845;0;;0;;;;;;;;;;;;;0;79501;0;;;1
1242;21;1;"131802";70;"522";"14";"1";"21";1;2,00;1101;0;100100;"1";"×ÅÐ";"Â3";4;"6";"1";"29";"4";0;0;;0;;;;;;;;;;;;;13;79502;0;;;1
1243;21;1;"131802";70;"522";"14";"1";"21";2;2,00;1108;0;100100;"1";"ÎÐ";"Â2";3;"5";"1";"29";"3";0;0;;0;;;;;;;;;;;;;9;79503;0;;;1
1244;21;1;"131802";70;"522";"14";"1";"21";3;3,00;1101;0;302600;"2";"ÌØ";"À2";2;"2";"14";"35";"2";0;0;;0;"100100";;;;;;;;;;;;10;79504;0;;;1
1245;21;1;"131802";70;"522";"14";"1";"21";4;19,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;50;;3282;"100100";;;;;;;;;;;;9;79505;0;;;1
1246;21;1;"131802";70;"522";"14";"1";"21";5;84,00;1108;0;100100;"1À";"ÎÐ";"Â2";3;"260";"1";"29";"3";1435;50;"5";1470;;;;;;;;;;"5";;;9;79506;0;;;1
1247;21;1;"131802";70;"522";"14";"1";"21";6;14,00;2412;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79507;0;;;1
1248;21;1;"131802";70;"522";"14";"1";"21";7;24,00;1101;0;100100;"1";"ÎÐ";"Â2";1;"4";"1";"29";"1";0;0;;0;;;;;;;;;;;;;9;79508;0;;;1
1249;21;1;"131802";70;"522";"14";"1";"21";8;11,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;30;;0;;;;;;;;;;;;;9;79509;0;;;1
1250;21;1;"131802";70;"522";"14";"1";"21";9;16,00;1108;373;100100;"1";"ÎÐ";"Â2";1;"8";"1";"29";"1";0;0;;0;;;;;;;;;;;;;8;79510;0;;;1
1251;21;1;"131802";70;"522";"14";"1";"21";10;6,00;1101;373;302600;"1";"ÎÐ";"Â2";1;"2";"14";"35";"1";0;0;;0;"100100";;;;;;;;;;;;8;79511;0;;;1
1252;21;1;"131802";70;"522";"14";"1";"21";11;10,00;1108;0;100100;"1";"ÌØ";"À2";1;"4";"1";"29";"1";0;0;;0;;;;;;;;;;;;;10;79512;0;;;1
1253;21;1;"131802";70;"522";"14";"1";"21";12;2,00;1510;0;100100;"1";"ÌØ";"À2";0;;"1";"29";;3285;0;;0;"100100";;;;;;;;;;;;7;79513;0;;;1
1254;21;1;"131802";70;"522";"14";"1";"21";13;13,00;1101;0;100100;"1";"ÎÐ";"Â2";4;"34";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79514;0;;;1
1255;21;1;"131802";70;"522";"14";"1";"21";14;5,00;1101;403;100100;"1";"ÎÐ";"Â2";4;"13";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79515;0;;;1
1256;21;1;"131802";70;"522";"14";"1";"21";15;19,00;1108;373;100100;"1";"ÎÐ";"Â2";1;"10";"1";"29";"1";0;0;;0;;;;;;;;;;;;;9;79516;0;;;1
1257;21;1;"131802";70;"522";"14";"1";"21";16;9,00;1101;403;100100;"1";"ÎÐ";"Â2";1;"1";"1";"29";"1";0;0;;0;;;;;;;;;;;;;9;79517;0;;;1
1258;21;1;"131802";70;"522";"14";"1";"21";17;1,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79518;0;;;1
1259;21;1;"131802";70;"522";"14";"1";"21";18;4,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79519;0;;;1
1260;21;1;"131802";71;"522";"14";"1";"21";1;45,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;50;;0;;;;;;;;;;;;;9;79520;0;;;1
1261;21;1;"131802";71;"522";"14";"1";"21";2;53,00;1108;0;100100;"1À";"ÎÐ";"Â2";3;"170";"1";"29";"3";1435;20;"5";0;;;;;;;;;;;;;9;79521;0;;;1
1262;21;1;"131802";71;"522";"14";"1";"21";3;7,00;1101;0;100100;"1";"×ÅÐ";"Â3";5;"19";"1";"29";"5";0;0;;0;;;;;;;;;;;;;13;79522;0;;;1
1263;21;1;"131802";71;"522";"14";"1";"21";4;33,00;1108;0;100100;"1";"ÌØ";"À2";4;"99";"1";"29";"4";0;0;"5";0;;;;;;;;;;;;;7;79523;0;;;1
1264;21;1;"131802";71;"522";"14";"1";"21";5;35,00;1101;0;100100;"1";"ÎÐ";"Â2";4;"119";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79524;0;;;1
1265;21;1;"131802";71;"522";"14";"1";"21";6;6,00;1108;373;100100;"1";"ÎÐ";"Â2";1;"2";"1";"29";"1";0;0;;0;;;;;;;;;;;;;9;79525;0;;;1
1266;21;1;"131802";71;"522";"14";"1";"21";7;4,00;1201;373;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;0;0;;0;;;;;;;;;;;;;9;79526;0;;;1
1267;21;1;"131802";71;"522";"14";"1";"21";8;4,00;1108;0;100100;"2";"ÌØ";"À2";1;"1";"1";"29";"1";0;0;;0;;;;;;;;;;;;;7;79527;0;;;1
1268;21;1;"131802";71;"522";"14";"1";"21";9;2,00;1201;373;100200;"1";"ÎÐ";"Ñ2";0;;"3";"29";;0;0;;0;;;;;;;;;;;;;9;79528;0;;;1
1269;21;1;"131802";71;"522";"14";"1";"21";10;10,00;1201;373;100200;"1";"ÎÐ";"Ñ2";0;;"3";"29";;0;0;;0;;;;;;;;;;;;;9;79529;0;;;1
1270;21;1;"131802";71;"522";"14";"1";"21";11;1,00;1101;373;100100;"1";"ÌØ";"À2";1;;"1";"29";"1";0;0;;0;;;;;;;;;;;;;9;79530;0;;;1
1271;21;1;"131802";71;"522";"14";"1";"21";12;1,00;1108;403;100100;"1";"ÌØ";"À2";3;"2";"1";"29";"3";0;0;;0;;;;;;;;;;;;;7;79531;0;;;1
1272;21;1;"131802";71;"522";"14";"1";"21";13;19,00;1201;373;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;0;0;;0;;;;;;;;;;;;;9;79532;0;;;1
1273;21;1;"131802";71;"522";"14";"1";"21";14;10,00;1201;373;100200;"1";"ÎÐ";"Ñ2";0;;"3";"29";;0;0;;0;;;;;;;;;;;;;8;79533;0;;;1
1274;21;1;"131802";71;"522";"14";"1";"21";15;11,00;1108;373;100100;"1";"ÎÐ";"Â2";1;"2";"1";"29";"1";0;0;;0;;;;;;;;;;;;;8;79534;0;;;1
1275;21;1;"131802";71;"522";"14";"1";"21";16;9,00;1201;373;202300;"2";"ÊÈÑ";"Ä2";0;;"8";"25";;0;0;;0;;;;;;;;;;;;;18;79535;0;;;1
1276;21;1;"131802";71;"522";"14";"1";"21";17;11,00;1108;403;100100;"2";"ÌØ";"À2";1;"4";"1";"29";"1";0;0;;0;;;;;;;;;;;;;7;79536;0;;;1
1277;21;1;"131802";71;"522";"14";"1";"21";18;1,00;1108;403;100100;"2";"ÌØ";"À2";1;;"1";"29";"1";0;0;;0;;;;;;;;;;;;;7;79537;0;;;1
1278;21;1;"131802";71;"522";"14";"1";"21";19;18,00;1108;403;100100;"1";"ÌØ";"À2";4;"56";"1";"29";"4";0;0;;0;;;;;;;;;;;;;7;79538;0;;;1
1279;21;1;"131802";71;"522";"14";"1";"21";20;18,00;1101;403;100100;"1";"ÎÐ";"Â2";4;"61";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79539;0;;;1
1280;21;1;"131802";71;"522";"14";"1";"21";21;2,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79540;0;;;1
1281;21;1;"131802";71;"522";"14";"1";"21";22;5,00;2310;0;0;;;;0;;;;;1881;0;;0;;;;;;;;;;;;;0;79541;0;;;1
1282;21;1;"131802";71;"522";"14";"1";"21";23;1,00;1201;403;100200;"1";"ÎÐ";"Â2";0;;"3";"29";;0;0;;0;;;;;;;;;;;;;9;79542;0;;;1
1283;21;1;"131802";71;"522";"14";"1";"21";24;2,00;1108;403;100100;"1";"ÎÐ";"Â2";1;;"1";"29";"1";0;0;;0;;;;;;;;;;;;;8;79543;0;;;1
1284;21;1;"131802";71;"522";"14";"1";"21";25;4,00;1201;403;202300;"2";"ÊÈÑ";"Ä2";0;;"8";"25";;0;0;;0;;;;;;;;;;;;;18;79544;0;;;1
1285;21;1;"131802";71;"522";"14";"1";"21";26;4,00;1108;403;100100;"2";"ÌØ";"À2";1;"1";"1";"29";"1";0;0;;0;;;;;;;;;;;;;7;79545;0;;;1
1286;21;1;"131802";71;"522";"14";"1";"21";27;9,00;1108;403;100100;"1";"ÌØ";"À2";4;"28";"1";"29";"4";0;0;;0;;;;;;;;;;;;;7;79546;0;;;1
1287;21;1;"131802";71;"522";"14";"1";"21";28;8,00;1101;403;100100;"1";"ÎÐ";"Â2";4;"27";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79547;0;;;1
1288;21;1;"131802";71;"522";"14";"1";"21";29;1,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79548;0;;;1
1289;21;1;"131802";72;"522";"14";"1";"21";1;29,00;1101;0;100100;"1À";"ÎÐ";"Â2";3;"90";"1";"29";"3";0;0;"5";0;;;;;;;;;;;;;9;79549;0;;;1
1290;21;1;"131802";72;"522";"14";"1";"21";2;39,00;1108;0;100100;"1";"ÌØ";"À2";3;"113";"1";"29";"3";1435;10;"10";0;;;;;;;;;;;;;7;79550;0;;;1
1291;21;1;"131802";72;"522";"14";"1";"21";3;67,00;1108;0;100100;"2";"ÌØ";"À2";3;"147";"1";"29";"3";1605;5;"10";0;;;;;;;;;;;;;7;79551;0;;;1
1292;21;1;"131802";72;"522";"14";"1";"21";4;24,00;1108;0;100100;"1";"ÌØ";"À2";4;"77";"1";"29";"4";1435;15;"5";0;;;;;;;;;;;;;7;79552;0;;;1
1293;21;1;"131802";72;"522";"14";"1";"21";5;4,00;1108;0;100100;"1";"ÌØ";"À2";4;"12";"1";"29";"4";0;0;"5";0;;;;;;;;;;;;;7;79553;0;;;1
1294;21;1;"131802";72;"522";"14";"1";"21";6;3,00;1101;0;100100;"1";"ÌØ";"À2";5;"10";"1";"29";"5";0;0;;0;;;;;;;;;;;;;7;79554;0;;;1
1295;21;1;"131802";72;"522";"14";"1";"21";7;38,00;1101;0;100100;"1";"ÎÐ";"Â2";4;"114";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79555;0;;;1
1296;21;1;"131802";72;"522";"14";"1";"21";8;6,00;1101;0;100100;"1";"×ÅÐ";"Â3";4;"18";"1";"29";"4";0;0;"5";0;;;;;;;;;;;;;12;79556;0;;;1
1297;21;1;"131802";72;"522";"14";"1";"21";9;12,00;1101;403;100100;"1";"×ÅÐ";"Â3";4;"36";"1";"29";"4";0;0;;0;;;;;;;;;;;;;12;79557;0;;;1
1298;21;1;"131802";72;"522";"14";"1";"21";10;10,00;1108;0;100100;"1";"ÎÐ";"Â2";3;"32";"1";"29";"3";1435;15;"5";0;;;;;;;;;;;;;8;79558;0;;;1
1299;21;1;"131802";72;"522";"14";"1";"21";11;22,00;1108;0;100100;"1";"ÌØ";"À2";3;"53";"1";"29";"3";1435;15;"10";0;;;;;;;;;;"5";;;7;79559;0;;;1
1300;21;1;"131802";72;"522";"14";"1";"21";12;7,00;1108;0;100100;"1";"×ÅÐ";"Â3";3;"15";"1";"29";"3";0;0;"5";0;;;;;;;;;;;;;12;79560;0;;;1
1301;21;1;"131802";72;"522";"14";"1";"21";13;31,00;1101;0;100100;"1";"ÎÐ";"Â2";5;"105";"1";"29";"5";0;0;;0;;;;;;;;;;;;;8;79561;0;;;1
1302;21;1;"131802";72;"522";"14";"1";"21";14;17,00;1108;0;100100;"1";"ÎÐ";"Â2";4;"51";"1";"29";"4";0;0;"5";0;;;;;;;;;;;;;8;79562;0;;;1
1303;21;1;"131802";72;"522";"14";"1";"21";15;13,00;1108;0;100200;"1";"ÎÐ";"Ñ2";2;"20";"3";"29";"2";0;0;;0;;;;;;;;;;;;;9;79563;0;;;1
1304;21;1;"131802";72;"522";"14";"1";"21";16;4,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79564;0;;;1
1305;21;1;"131802";72;"522";"14";"1";"21";17;3,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;79565;0;;;1
1306;21;1;"131802";72;"522";"14";"1";"21";18;32,00;1101;0;100100;"1";"ÌØ";"À2";5;"109";"1";"29";"5";0;0;;0;;;;;;;;;;;;;7;79566;0;;;1
1307;21;1;"131802";72;"522";"14";"1";"21";19;22,00;1101;0;100100;"1";"ÎÐ";"Â2";4;"66";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;79567;0;;;1
